playerID,addressLine,city,provinceName,country
628,4633 Jefferson Street,London,England,United Kingdom
1006,4634 Hilltop Rd,West Covina,California,United States
551,4634 St. Paul Way,Hobart,Tasmania,Australia
654,4635 Patterson Court,Sydney,New South Wales,Australia
552,4635 Woodside Court,Downey,California,United States
627,46/A Woodside Court,Matraville,New South Wales,Australia
907,46/A Lakeside Court,Redmond,Washington,United States
651,3/A7 Lakeside Court,Sydney,New South Wales,Australia
638,38/A Chestnut Ave,Burien,Washington,United States
639,564 Ahneita Dr.,West Covina,California,United States
640,364 Ahneita Dr.,Shawnee,British Columbia,Canada
660,4/A1 Brown St.,Gold Coast,Queensland,Australia
914,46/A Brown St.,Yakima,Washington,United States
643,4641 Miguel Drive,Bobigny,Seine Saint Denis,France
642,4649 Miguel Drive,Colombes,Hauts de Seine,France
646,42/B Canyon Creek Drive,Orleans,Loiret,France
648,46/B Peabody Road,Suresnes,Hauts de Seine,France
647,46/B Peabody Road,Villeneuve-d'Ascq,Nord,France
649,43/B Elkwood Dr.,West Covina,California,United States
644,43/C Elkwood Dr.,Colombes,Hauts de Seine,France
645,4444 Bellord Ct.,Berks,England,United Kingdom
455,5444 Bellord Ct.,Grossmont,California,United States
456,44/E Bohon Circle,Berkshire,England,United Kingdom
458,44/H Bohon Circle,Townsville,Queensland,Australia
457,44/J Flamingo Dr.,Novato,California,United States
459,54/K Flamingo Dr.,Tacoma,Washington,United States
461,5445 Tice Valley Blvd.,Paris,Seine (Paris),France
460,45 Tice Valley Blvd.,Orleans,Loiret,France
462,5446 N. Civic Dr.,Villeneuve-d'Ascq,Nord,France
466,54/L Via Estrella,Concord,California,United States
465,546 Via Estrella,Runcorn,England,United Kingdom
468,548 Contuti Avenue,Burbank,California,United States
957,448 Hill Drive,Oxford,England,United Kingdom
472,5448 Near Drive,Vancouver,British Columbia,Canada
464,548/T Nulty Drive,Esher-Molesey,England,United Kingdom
662,545 Los Gatos Court,Gold Coast,Queensland,Australia
674,5457 Los Gatos Court,Mill Valley,California,United States
665,5485 Willcrest Circle,Beaverton,Oregon,United States
875,540 Bellows Ct.,Townsville,Queensland,Australia
961,550 Bellows Ct.,North Ryde,New South Wales,Australia
668,52/R Corte Gilberto,Santa Monica,California,United States
669,52/D Corte Gilberto,SŠvres,Hauts de Seine,France
677,453 James Donlon Blvd.,Roubaix,Nord,France
672,553 James Donlon Blvd.,SŠvres,Hauts de Seine,France
890,554 Old Mt. View Drive,Lieusaint,Seine et Marne,France
679,554/T Old Mt. View Drive,Royal Oak,British Columbia,Canada
667,545/H Granola Dr,Paris,Seine (Paris),France
899,455 Grenola Dr,Colomiers,Garonne (Haute),France
671,545/A Via Romero,Colombes,Hauts de Seine,France
600,556 Old Oak Drive,Paris,Seine (Paris),France
585,5456 Old Oak Drive,Verrieres Le Buisson,Essonne,France
587,557 Chrislend Court,Villeneuve-d'Ascq,Nord,France
586,5457 Woodcrest Dr.,Colombes,Hauts de Seine,France
909,547 Woodcrest Dr.,Metz,Moselle,France
589,457 Woodcrest Dr.,Cergy,Val d'Oise,France
590,4633 Jefferson Street,Paris,Seine (Paris),France
595,4634 Hilltop Rd,Paris,Seine (Paris),France
592,4634 St. Paul Way,Royal Oak,British Columbia,Canada
596,4635 Patterson Court,Gold Coast,Queensland,Australia
594,4635 Woodside Court,Salem,Oregon,United States
601,46/A Woodside Court,East Brisbane,Queensland,Australia
598,46/A Lakeside Court,Spokane,Washington,United States
824,3/A7 Lakeside Court,Edmonds,Washington,United States
564,38/A Chestnut Ave,South Melbourne,Victoria,Australia
565,564 Ahneita Dr.,Palo Alto,California,United States
566,364 Ahneita Dr.,Woodburn,Oregon,United States
581,4/A1 Brown St.,W. Linn,Oregon,United States
568,46/A Brown St.,Burbank,California,United States
577,4641 Miguel Drive,Corvallis,Oregon,United States
570,4649 Miguel Drive,London,England,United Kingdom
572,42/B Canyon Creek Drive,Rhodes,New South Wales,Australia
1016,46/B Peabody Road,Salem,Oregon,United States
582,46/B Peabody Road,Imperial Beach,California,United States
574,43/B Elkwood Dr.,Esher-Molesey,England,United Kingdom
571,43/C Elkwood Dr.,Bobigny,Seine Saint Denis,France
578,4444 Bellord Ct.,Cliffside,British Columbia,Canada
573,5444 Bellord Ct.,West Covina,California,United States
745,44/E Bohon Circle,Olympia,Washington,United States
955,44/H Bohon Circle,Orleans,Loiret,France
747,44/J Flamingo Dr.,Berkeley,California,United States
748,54/K Flamingo Dr.,Walla Walla,Washington,United States
757,5445 Tice Valley Blvd.,Concord,California,United States
753,45 Tice Valley Blvd.,Redwood City,California,United States
784,5446 N. Civic Dr.,Silverwater,New South Wales,Australia
752,54/L Via Estrella,Bobigny,Seine Saint Denis,France
750,546 Via Estrella,Saint-Denis,Seine Saint Denis,France
755,548 Contuti Avenue,Colombes,Hauts de Seine,France
754,448 Hill Drive,Orleans,Loiret,France
751,5448 Near Drive,Ballard,Washington,United States
749,548/T Nulty Drive,Gloucestershire,England,United Kingdom
974,545 Los Gatos Court,Bendigo,Victoria,Australia
580,5457 Los Gatos Court,Lemon Grove,California,United States
742,5485 Willcrest Circle,Cliffside,British Columbia,Canada
736,540 Bellows Ct.,Glendale,California,United States
927,550 Bellows Ct.,Lancaster,England,United Kingdom
730,52/R Corte Gilberto,Kirkby,England,United Kingdom
738,52/D Corte Gilberto,Glendale,California,United States
929,453 James Donlon Blvd.,Berkeley,California,United States
740,553 James Donlon Blvd.,East Brisbane,Queensland,Australia
733,554 Old Mt. View Drive,Novato,California,United States
781,554/T Old Mt. View Drive,Caloundra,Queensland,Australia
735,545/H Granola Dr,Bury,England,United Kingdom
930,455 Grenola Dr,Warrnambool,Victoria,Australia
1034,545/A Via Romero,Coffs Harbour,New South Wales,Australia
785,556 Old Oak Drive,London,England,United Kingdom
926,5456 Old Oak Drive,Coronado,California,United States
821,557 Chrislend Court,Silverwater,New South Wales,Australia
788,5457 Woodcrest Dr.,Caloundra,Queensland,Australia
789,547 Woodcrest Dr.,London,England,United Kingdom
791,457 Woodcrest Dr.,Kirkland,Washington,United States
792,4633 Jefferson Street,Wokingham,England,United Kingdom
793,4634 Hilltop Rd,Lynnwood,Washington,United States
